Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp6       0      0 localhost:49336         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46366         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49048         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39836         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52020         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52503         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49951         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55333         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34046         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53193         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41399         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49485         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47613         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53547         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55724         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47061         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48972         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33026         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60379         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36511         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53728         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40513         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53928         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53111         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38441         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57853         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46135         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37098         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58659         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47425         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52825         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44987         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49539         localhost:5555          TIME_WAIT  
